series,n_pairs,same_sign_share,share_ci_lo,share_ci_hi,runs,expected_runs,runs_z,runs_p
PAYEMS,848,0.5872641509433962,0.5495283018867925,0.625,351,407.8739693757362,-4.075547072457322,4.590629445333505e-05
RSAFS,298,0.5369127516778524,0.4899328859060403,0.5906040268456376,139,142.53846153846155,-0.43309959592344804,0.6649424163262276
INDPRO,974,0.486652977412731,0.45687885010266943,0.5185061601642709,501,487.3671794871795,0.8756849021428291,0.38120135527534593
