series,ac1_first_vintage,ac1_final_vintage,gap_final_minus_first,gap_ci_lo,gap_ci_hi
PAYEMS,0.08466549490046482,0.09038931333253242,0.0057238184320675956,-0.021937526190173355,0.26601345878243043
RSAFS,-0.08435810993445161,-0.04541833911688405,0.03893977081756756,-0.04325465860512376,0.11523935031721015
INDPRO,0.2247802812453284,0.5039410677809164,0.279160786535588,0.12560209590554658,0.35319170639671765
