event_id,ticker,catalyst_date,pre_runup,event_reaction,post_drift,pre_news_intensity,pre_news_tone
SRPT-EXONDYS-2016,SRPT,2016-09-19,0.4060695061547105,0.775083467580894,0.0197809808640681,,
AMRN-REDUCEIT-2018,AMRN,2018-09-24,0.06439618611813736,3.217754287552819,0.6908808409518135,,
BMRN-ROCTAVIAN-2020,BMRN,2020-08-18,0.17216460866465866,-0.3740663629582873,0.0023937728187439777,,
ACAD-HARMONY-2021,ACAD,2021-04-05,-0.5024016910424641,-0.2016331735929242,-0.01587037646215428,,
BIIB-ADUHELM-2021,BIIB,2021-06-07,0.13800570360068154,0.37950343757095106,-0.08677599530090341,,
AXSM-AUVELITY-2022,AXSM,2022-08-19,0.31836588505097707,0.5108831200670548,-0.053707564911064876,,
ESPR-CLEAR-2022,ESPR,2022-12-07,0.1428574838419293,-0.1641823209445652,0.1603551785641839,,
MDGL-MAESTRONASH-2022,MDGL,2022-12-19,0.022779030743439344,2.7581238410449815,0.14891448261849805,,
SRPT-ELEVIDYS-2023,SRPT,2023-06-22,-0.10869281696250588,-0.10805917273995891,-0.06568106144771801,,
CYTK-SEQUOIA-2023,CYTK,2023-12-27,0.2863797044959858,0.8112680013642362,-0.006587768634263802,,
VKTX-VENTURE-2024,VKTX,2024-02-27,0.9804411173475311,1.278543570086992,0.023276102204027538,,
INSM-ASPEN-2024,INSM,2024-05-28,-0.05754966963403618,1.2516019342223874,0.16791554285763455,,
